dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.2,15,10,0.21197,1313890.0,15.0,15.0,198.0,274.0,10000,0,5.345
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.3,19,10,0.3042,1068830.0,19.0,19.0,244.0,338.0,10000,0,5.345
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.4,11,10,0.42601,964878.0,25.0,44.0,313.0,574.0,10000,0,5.345
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.5,18,10,0.50299,746993.0,34.0,61.0,406.0,738.0,10000,0,5.345
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.6,45,10,0.60551,426876.0,65.0,112.0,685.0,1179.0,10000,0,5.345
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.7,250,10,0.70282,103302.0,295.0,404.0,2503.0,3824.0,10000,0,5.345
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.1,10,1,0.1431,1995210.0,10.0,10.0,149.0,200.0,10000,0,4.941
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.2,12,1,0.2166,1698950.0,12.0,12.0,178.0,237.0,10000,0,4.941
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.3,15,1,0.3077,1350440.0,15.0,15.0,218.0,293.0,10000,0,4.941
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.4,11,1,0.4811,1044930.0,23.0,41.0,323.0,582.0,10000,0,4.941
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.5,13,1,0.5023,939408.0,26.0,45.0,350.0,629.0,10000,0,4.941
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.6,34,1,0.6038,517277.0,50.0,86.0,618.0,1055.0,10000,0,4.941
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.7,500,1,0.703,50838.6,565.0,683.0,4888.0,7289.0,10000,0,4.941
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.1,10,10,0.13044,1816530.0,10.0,10.0,149.0,200.0,10000,0,5.484
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.2,13,10,0.23201,1464560.0,13.0,13.0,191.0,256.0,10000,0,5.484
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.3,16,10,0.31716,1195890.0,16.0,16.0,230.0,311.0,10000,0,5.484
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.4,11,10,0.46913,986680.0,23.0,41.0,323.0,582.0,10000,0,5.484
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.5,14,10,0.50147,858664.0,27.0,47.0,362.0,644.0,10000,0,5.484
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.6,34,10,0.60675,503423.0,50.0,86.0,618.0,1055.0,10000,0,5.484
glove25-25-angular,euclidean,mod-vamana,0.99,1.0,32,64,1399,0.7,160,10,0.70143,144078.0,189.0,263.0,1911.0,2936.0,10000,0,5.484
glove25-25-angular,euclidean,mod-vamana,1.0,1.0,32,64,1399,0.2,10,1,0.2771,1647450.0,10.0,10.0,203.0,265.0,10000,0,5.208
glove25-25-angular,euclidean,mod-vamana,1.0,1.0,32,64,1399,0.3,11,1,0.3194,1495220.0,11.0,11.0,221.0,288.0,10000,0,5.208
glove25-25-angular,euclidean,mod-vamana,1.0,1.0,32,64,1399,0.4,14,1,0.4221,1227600.0,14.0,14.0,271.0,356.0,10000,0,5.208
glove25-25-angular,euclidean,mod-vamana,1.0,1.0,32,64,1399,0.5,11,1,0.5627,957854.0,21.0,37.0,385.0,658.0,10000,0,5.208
glove25-25-angular,euclidean,mod-vamana,1.0,1.0,32,64,1399,0.6,17,1,0.6075,737300.0,28.0,48.0,490.0,839.0,10000,0,5.208
glove25-25-angular,euclidean,mod-vamana,1.0,1.0,32,64,1399,0.7,140,1,0.7014,153123.0,160.0,209.0,2122.0,3146.0,10000,0,5.208
glove25-25-angular,euclidean,mod-vamana,1.0,1.0,32,64,1399,0.2,10,10,0.25351,1509210.0,10.0,10.0,203.0,265.0,10000,0,5.696
glove25-25-angular,euclidean,mod-vamana,1.0,1.0,32,64,1399,0.3,12,10,0.33625,1323980.0,12.0,12.0,238.0,310.0,10000,0,5.696
glove25-25-angular,euclidean,mod-vamana,1.0,1.0,32,64,1399,0.4,14,10,0.4016,1172060.0,14.0,14.0,271.0,356.0,10000,0,5.696
glove25-25-angular,euclidean,mod-vamana,1.0,1.0,32,64,1399,0.5,11,10,0.54945,933794.0,21.0,37.0,385.0,658.0,10000,0,5.696
glove25-25-angular,euclidean,mod-vamana,1.0,1.0,32,64,1399,0.6,17,10,0.60469,713267.0,28.0,48.0,490.0,839.0,10000,0,5.696
glove25-25-angular,euclidean,mod-vamana,1.0,1.0,32,64,1399,0.7,65,10,0.70226,295508.0,79.0,117.0,1174.0,1823.0,10000,0,5.696
