dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.99,140,10,0.99032,25631.3,166.0,190.0,698.0,1065.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.995,275,10,0.99525,16516.9,317.0,348.0,1123.0,1697.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.3,10,1,0.3105,203591.0,10.0,10.0,98.0,144.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.4,12,1,0.4296,173458.0,12.0,12.0,114.0,167.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.5,14,1,0.5365,147202.0,14.0,14.0,129.0,195.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.6,16,1,0.63,136846.0,16.0,16.0,142.0,216.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.7,18,1,0.7005,119763.0,18.0,18.0,155.0,235.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.75,21,1,0.774,111293.0,21.0,21.0,172.0,262.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.8,23,1,0.8145,101574.0,23.0,23.0,183.0,279.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.85,28,1,0.8762,96466.4,28.0,28.0,208.0,321.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.9,35,1,0.9205,81612.7,35.0,35.0,241.0,370.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.93,24,1,0.9345,73924.6,36.0,56.0,246.0,436.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.95,36,1,0.9578,65067.3,49.0,73.0,305.0,520.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.97,50,1,0.9701,50722.8,65.0,90.0,369.0,616.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.98,70,1,0.9801,41751.2,87.0,113.0,451.0,738.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.99,160,1,0.9907,23343.2,187.0,213.0,777.0,1222.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.995,375,1,0.9958,13072.6,428.0,463.0,1428.0,2165.0,10000,0,60.634
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.2,10,10,0.26882,194367.0,10.0,10.0,98.0,144.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.3,11,10,0.32359,169584.0,11.0,11.0,106.0,156.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.4,13,10,0.43049,156274.0,13.0,13.0,122.0,180.0,10000,0,56.515
