dataset,metric,method,dimensions,sources,total points,edges,mean points covered,median points covered,min points covered,max points covered
yandex_deep,euclidean,robust-prune,96,10000,1000000000,195,999999981.3104,1000000000.0,999978158,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,196,999999982.4922,1000000000.0,999981851,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,197,999999983.262,1000000000.0,999981908,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,198,999999983.9265,1000000000.0,999981929,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,199,999999984.4054,1000000000.0,999982047,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,200,999999984.8605,1000000000.0,999983012,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,201,999999985.2883,1000000000.0,999983027,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,202,999999985.6612,1000000000.0,999983043,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,203,999999986.1598,1000000000.0,999983083,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,204,999999986.5346,1000000000.0,999983087,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,205,999999987.716,1000000000.0,999983330,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,206,999999988.0503,1000000000.0,999983331,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,207,999999988.3295,1000000000.0,999983376,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,208,999999988.6944,1000000000.0,999983922,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,209,999999988.9997,1000000000.0,999983924,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,210,999999989.2816,1000000000.0,999983928,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,211,999999989.5868,1000000000.0,999984158,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,212,999999989.8183,1000000000.0,999984169,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,213,999999991.6108,1000000000.0,999997035,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,214,999999991.8794,1000000000.0,999997049,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,215,999999992.1989,1000000000.0,999997062,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,216,999999992.5039,1000000000.0,999997156,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,217,999999992.7613,1000000000.0,999997222,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,218,999999992.9962,1000000000.0,999997235,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,219,999999993.2366,1000000000.0,999997250,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,220,999999993.5136,1000000000.0,999997251,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,221,999999993.7609,1000000000.0,999997815,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,222,999999993.9371,1000000000.0,999997828,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,223,999999994.121,1000000000.0,999997832,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,224,999999994.3007,1000000000.0,999997837,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,225,999999994.4876,1000000000.0,999997854,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,226,999999994.6574,1000000000.0,999997872,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,227,999999994.821,1000000000.0,999997875,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,228,999999995.0093,1000000000.0,999998268,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,229,999999995.1553,1000000000.0,999998278,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,230,999999995.301,1000000000.0,999998294,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,231,999999995.4357,1000000000.0,999998315,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,232,999999995.5907,1000000000.0,999998316,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,233,999999995.7142,1000000000.0,999998319,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,234,999999995.8426,1000000000.0,999998322,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,235,999999995.96,1000000000.0,999998325,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,236,999999996.0805,1000000000.0,999998342,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,237,999999996.1924,1000000000.0,999998427,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,238,999999996.2953,1000000000.0,999998430,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,239,999999996.408,1000000000.0,999998452,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,240,999999996.512,1000000000.0,999998458,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,241,999999996.6151,1000000000.0,999998516,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,242,999999996.708,1000000000.0,999998543,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,243,999999996.796,1000000000.0,999998545,1000000000
