edges,n_sources,n_active,frac_active,"mean cov frac (all, clamped)",mean cov frac (active only)
324,10000,9859,0.9859,0.9999880595324,0.999987888763972
325,10000,9859,0.9859,0.9999881055743001,0.9999879354643473
326,10000,9857,0.9857,0.9999881506918,0.9999879787884751
327,10000,9854,0.9854,0.9999881925115,0.9999880175679927
328,10000,9853,0.9853,0.9999882408851,0.9999880654471734
329,10000,9853,0.9853,0.9999882827907,0.9999881079779762
330,10000,9852,0.9852,0.9999883257502,0.9999881503757613
331,10000,9851,0.9851,0.9999883673659,0.9999881914180286
332,10000,9850,0.985,0.9999884131893,0.999988236740406
333,10000,9850,0.985,0.9999884555045,0.9999882797
334,10000,9848,0.9848,0.9999884965514,0.9999883190002031
335,10000,9847,0.9847,0.999988539353,0.999988361280593
336,10000,9845,0.9845,0.9999885815296,0.9999884017568309
337,10000,9843,0.9843,0.9999886238504,0.9999884423960175
338,10000,9843,0.9843,0.9999886749973,0.999988494358732
339,10000,9843,0.9843,0.9999887162994,0.999988536319618
340,10000,9843,0.9843,0.9999887593573,0.9999885800643097
341,10000,9841,0.9841,0.999988800583,0.9999886196351997
342,10000,9840,0.984,0.9999888405077,0.9999886590525406
343,10000,9840,0.984,0.9999888811845999,0.9999887003908536
344,10000,9839,0.9839,0.9999889194998,0.9999887381845716
345,10000,9837,0.9837,0.9999889566731,0.9999887736841516
346,10000,9834,0.9834,0.9999889934851001,0.9999888076928005
347,10000,9834,0.9834,0.9999890320639,0.9999888469228188
348,10000,9831,0.9831,0.9999890688970999,0.9999888809857593
349,10000,9830,0.983,0.9999891074938,0.9999889191188199
350,10000,9828,0.9828,0.9999891444617,0.9999889544787343
351,10000,9826,0.9826,0.9999891822439999,0.9999889906818645
352,10000,9826,0.9826,0.9999892195813,0.9999890286803379
353,10000,9823,0.9823,0.9999892567166,0.9999890631340731
354,10000,9822,0.9822,0.9999892916071,0.9999890975433721
355,10000,9822,0.9822,0.9999893270528001,0.9999891336314396
356,10000,9821,0.9821,0.9999893634036,0.9999891695383363
357,10000,9821,0.9821,0.9999893986289999,0.9999892054057632
358,10000,9820,0.982,0.9999894337328,0.9999892400537678
359,10000,9814,0.9814,0.9999894678484,0.9999892682376198
360,10000,9812,0.9812,0.9999895037619999,0.9999893026518549
361,10000,9811,0.9811,0.9999895389083,0.999989337384874
362,10000,9809,0.9809,0.9999895726967,0.9999893696571516
363,10000,9808,0.9808,0.9999896064407,0.9999894029778752
364,10000,9808,0.9808,0.9999896407241,0.9999894379324021
365,10000,9807,0.9807,0.9999896785713001,0.9999894754474355
366,10000,9805,0.9805,0.9999897134971,0.9999895089210606
367,10000,9803,0.9803,0.9999897468843,0.9999895408388249
368,10000,9802,0.9802,0.9999897816001,0.9999895751888389
369,10000,9802,0.9802,0.9999898144744,0.9999896087271984
370,10000,9799,0.9799,0.9999898494842,0.9999896412738035
