dataset,metric,method,dimensions,sources,total points,edges,mean points covered,median points covered,min points covered,max points covered,sources below 99.5% coverage,sources below 100% coverage
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,92,999927667.8022,999975820.5,989626719,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,93,999928925.5281,999976133.5,989753758,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,94,999930128.7932,999976523.5,990116384,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,95,999931225.1204,999976870.5,990159681,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,96,999932386.9662,999977225.5,990387782,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,97,999933628.9975,999977564.0,990438926,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,98,999934942.4467,999977898.5,990470819,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,99,999936024.8626,999978213.0,990902116,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,100,999937091.33,999978525.0,991362827,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,101,999938058.5571,999978809.0,991435659,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,102,999939010.6764,999979109.0,991578253,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,103,999939965.2024,999979379.5,991598779,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,104,999940900.9326,999979675.5,992080203,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,105,999941728.1721,999979952.5,992123110,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,106,999942780.7677,999980273.0,992213600,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,107,999943580.125,999980495.5,992344922,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,108,999944385.9962,999980816.5,992360819,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,109,999945179.6312,999981070.0,992368870,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,110,999945953.3258,999981260.0,992479351,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,111,999946629.0473,999981544.5,992501918,1000000000,3,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,112,999947373.8861,999981782.5,992600783,1000000000,3,9993
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,113,999948237.4028,999982012.0,993267770,1000000000,3,9993
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,114,999948989.1488,999982239.5,993305055,1000000000,3,9993
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,115,999949764.3584,999982444.5,993316484,1000000000,3,9993
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,116,999950387.6558,999982640.0,993334472,1000000000,3,9993
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,117,999951015.6702,999982866.5,993349616,1000000000,3,9992
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,118,999951619.1821,999983066.5,993412507,1000000000,3,9991
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,119,999952288.6546,999983288.5,993477746,1000000000,3,9991
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,120,999952862.0999,999983483.0,993567798,1000000000,3,9991
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,121,999953510.5167,999983690.0,993758779,1000000000,2,9991
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,122,999954056.0024,999983929.0,993798691,1000000000,2,9990
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,123,999954649.4739,999984107.5,994080927,1000000000,2,9990
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,124,999955216.6231,999984310.0,994126528,1000000000,2,9990
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,125,999955938.2428,999984504.0,994193700,1000000000,2,9990
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,126,999956424.8127,999984654.5,994226145,1000000000,2,9990
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,127,999956951.6409,999984821.0,994263004,1000000000,2,9990
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,128,999957409.7867,999984986.5,994296283,1000000000,2,9990
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,129,999957978.794,999985162.0,994753254,1000000000,2,9990
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,130,999958516.7368,999985335.0,994759007,1000000000,1,9990
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,131,999958990.3906,999985495.5,994782264,1000000000,1,9990
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,132,999959440.2731,999985630.0,994906258,1000000000,1,9990
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,133,999959898.8341,999985785.0,995012478,1000000000,0,9990
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,134,999960322.7472,999985946.5,995045070,1000000000,0,9990
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,135,999960851.0393,999986107.0,995068949,1000000000,0,9989
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,136,999961297.4312,999986243.0,995092760,1000000000,0,9989
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,137,999961690.9873,999986364.5,995131670,1000000000,0,9986
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,138,999962114.7899,999986490.5,995176141,1000000000,0,9986
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,139,999962610.3703,999986638.0,995253267,1000000000,0,9986
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,140,999962998.1143,999986770.5,995261425,1000000000,0,9986
