dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.7,15,1,0.7169,128984.0,26.0,47.0,248.0,454.0,10000,0,42.199
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.75,22,1,0.7545,103922.0,34.0,60.0,303.0,549.0,10000,0,42.199
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.8,60,1,0.8012,58709.9,76.0,118.0,544.0,896.0,10000,0,42.199
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.2,10,10,0.24298,273643.0,10.0,10.0,108.0,161.0,10000,0,39.716
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.3,12,10,0.3454,234077.0,12.0,12.0,128.0,187.0,10000,0,39.716
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.4,14,10,0.43284,204968.0,14.0,14.0,147.0,213.0,10000,0,39.716
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.5,16,10,0.50341,183759.0,16.0,16.0,165.0,235.0,10000,0,39.716
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.6,20,10,0.60479,155417.0,20.0,20.0,197.0,281.0,10000,0,39.716
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.7,13,10,0.70619,133531.0,24.0,44.0,234.0,432.0,10000,0,39.716
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.75,18,10,0.75168,112634.0,30.0,54.0,277.0,511.0,10000,0,39.716
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.8,34,10,0.80323,78740.2,48.0,82.0,387.0,682.0,10000,0,39.716
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.3,10,1,0.3582,258625.0,10.0,10.0,125.0,178.0,10000,0,41.762
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.4,11,1,0.4081,232078.0,11.0,11.0,135.0,191.0,10000,0,41.762
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.5,14,1,0.5205,197804.0,14.0,14.0,163.0,229.0,10000,0,41.762
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.6,18,1,0.6187,163018.0,18.0,18.0,197.0,276.0,10000,0,41.762
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.7,14,1,0.7177,132496.0,24.0,43.0,245.0,442.0,10000,0,41.762
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.75,19,1,0.7528,112445.0,30.0,52.0,287.0,518.0,10000,0,41.762
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.8,55,1,0.8019,61249.0,68.0,105.0,516.0,863.0,10000,0,41.762
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.3,10,10,0.3383,241319.0,10.0,10.0,125.0,178.0,10000,0,39.996
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.4,12,10,0.43405,210686.0,12.0,12.0,144.0,206.0,10000,0,39.996
