dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.85,12,1,0.8586,117382.0,22.0,42.0,176.0,325.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.9,17,1,0.9094,99353.2,28.0,52.0,209.0,382.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.93,22,1,0.9329,88186.5,33.0,59.0,233.0,422.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.95,32,1,0.9602,72475.8,44.0,74.0,284.0,500.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.97,40,1,0.9725,58453.2,52.0,86.0,325.0,565.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.98,50,1,0.9807,48446.3,64.0,101.0,377.0,638.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.99,80,1,0.9902,33977.3,96.0,136.0,510.0,824.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.995,140,1,0.9957,23332.8,162.0,208.0,753.0,1195.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.999,375,1,0.9991,11374.4,418.0,467.0,1571.0,2452.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.9995,500,1,0.9995,8829.08,554.0,610.0,1965.0,3084.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.3,11,10,0.37917,174140.0,11.0,11.0,100.0,152.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.4,12,10,0.43239,143131.0,12.0,12.0,107.0,162.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.5,14,10,0.52665,137883.0,14.0,14.0,122.0,181.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.6,16,10,0.60239,129872.0,16.0,16.0,135.0,197.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.7,21,10,0.73412,115620.0,21.0,21.0,166.0,239.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.75,10,10,0.76487,107521.0,20.0,38.0,165.0,303.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.8,14,10,0.82605,99459.9,24.0,45.0,187.0,344.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.85,30,10,0.85098,93042.3,30.0,30.0,215.0,306.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.9,28,10,0.92449,72445.4,40.0,69.0,267.0,473.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.93,30,10,0.9308,61321.1,42.0,71.0,275.0,485.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.95,38,10,0.95022,59369.7,50.0,83.0,316.0,549.0,10000,0,61.689
